Tipo_vivienda;Superficie construida;Habitaciones;Baños;Planta;Conservación;Precio;PMZona;PMm²Zona;RMP;RMH
Casa unifamiliar;300.0;8;5;0.0;En buen estado;400000.0;206292.31;1965.48;13665.0;38031.0
Piso;69.0;3;1;1.0;En buen estado;159000.0;290766.43;2029.47;12566.0;34529.0
Casa adosada;258.0;6;4;0.0;A reformar;860000.0;477500.0;3551.23;19482.0;51400.0
Piso;104.0;4;2;4.0;En buen estado;234900.0;292565.38;2668.12;13600.0;37800.0
Piso;71.0;3;1;1.0;Reformado;134900.0;215122.72;1537.09;12779.0;35897.0
Piso;50.0;2;1;0.0;A reformar;300000.0;1471095.24;6128.53;28233.0;69670.0
Piso;77.0;2;1;1.0;En buen estado;161000.0;820074.21;6639.78;19199.0;38360.0
Ático;79.0;2;1;1.0;A estrenar;389500.0;246055.29;2777.76;12275.0;32050.0
Casa unifamiliar;455.0;7;5;0.0;En buen estado;659000.0;325513.57;1941.5;13523.0;39156.0
Dúplex;101.0;3;2;2.0;En buen estado;240000.0;248278.5;2450.79;13234.0;36256.0
Piso;90.0;2;2;4.0;En buen estado;238000.0;320904.52;2307.83;12745.0;36317.0
Casa adosada;232.0;7;2;0.0;En buen estado;392900.0;222275.0;1916.51;12184.0;34865.0
Piso;46.0;1;1;4.0;Reformado;420000.0;820074.21;6639.78;19199.0;38360.0
Dúplex;139.0;4;3;1.0;A estrenar;415900.0;246055.29;2777.76;12275.0;32050.0
Chalet;216.0;3;3;0.0;A estrenar;499000.0;320904.52;2307.83;12745.0;36317.0
Piso;108.0;4;1;1.0;A reformar;179000.0;233732.5;2406.18;13809.0;37487.0
Piso;60.0;2;1;3.0;Reformado;379000.0;675858.33;5137.28;17026.0;39991.0
Piso;63.0;1;1;1.0;A estrenar;176952.0;820931.96;2942.56;16370.999999999998;45647.0
Piso;110.0;2;2;0.0;En buen estado;259000.0;361240.0;2315.8;15887.0;44955.0
Piso;77.0;3;1;1.0;Reformado;122500.0;186396.42;1864.74;10251.0;30961.0
Piso;58.0;1;1;4.0;Reformado;480000.0;820074.21;6639.78;19199.0;38360.0
Piso;111.0;3;2;1.0;A estrenar;185704.0;258967.62;1906.18;12592.0;38093.0
Piso;147.0;3;3;2.0;En buen estado;535000.0;734591.73;3773.82;21254.0;65428.0
Piso;88.0;3;2;0.0;En buen estado;265000.0;404569.14;4016.05;16890.0;41311.0
Piso;167.0;3;3;1.0;En buen estado;189900.0;197380.0;1582.78;11115.0;33852.0
Piso;62.0;3;1;4.0;En buen estado;179000.0;381560.93;3252.04;15115.0;39321.0
Piso;110.0;4;2;1.0;A reformar;299000.0;675858.33;5137.28;17026.0;39991.0
Piso;258.0;7;4;6.0;En buen estado;1199000.0;675858.33;5137.28;17026.0;39991.0
Piso;110.0;3;2;2.0;En buen estado;450000.0;611624.62;2519.64;19257.0;58788.0
Piso;108.0;3;2;2.0;En buen estado;175000.0;186396.42;1864.74;10251.0;30961.0
